DEP,Libelle,nb_communes,total_communes,pct_communes,pop_equip,total_pop,pct_pop
05,etablissement_sante_moyen_sejour,7,162,"0,04320987654","60506,25",134346,"0,4503762673"
05,etablissement_sante_long_sejour,4,162,"0,02469135802","58777,25",134346,"0,437506513"
05,urgences,3,162,"0,01851851852","55559,25",134346,"0,4135534366"
05,maternite,2,162,"0,01234567901","49409,25",134346,"0,3677761154"
05,dialyse,2,162,"0,01234567901","49409,25",134346,"0,3677761154"
05,medecin_generaliste,33,162,"0,2037037037","90999,75",134346,"0,6773536242"
05,chirurgien_dentiste,15,162,"0,09259259259","79411,25",134346,"0,5910950084"
05,sage_femme,12,162,"0,07407407407",72774,134346,"0,5416908579"
05,infirmier,39,162,"0,2407407407","97185,75",134346,"0,7233989103"
05,laboratoire_d_analyses_et_de_biologie_medicale,5,162,"0,03086419753","61884,75",134346,"0,4606370863"
05,ambulance,11,162,"0,06790123457","67782,25",134346,"0,5045349322"
05,pharmacie,34,162,"0,2098765432","94312,75",134346,"0,70201383"
05,cinema,17,162,"0,1049382716","73868,5",134346,"0,5498377324"
05,bibliotheque,92,162,"0,5679012346","116237,5",134346,"0,8652099802"
05,arts_du_spectacle,3,162,"0,01851851852","49731,25",134346,"0,3701729117"
05,decheterie,28,162,"0,1728395062","79788,25",134346,"0,5939011954"
06,police,6,163,"0,03680981595","590778,25","1109574,75","0,5324366385"
06,gendarmerie,36,163,"0,2208588957","241675,75","1109574,75","0,2178093454"
06,reseau_de_proximite_pole_emploi,8,163,"0,0490797546","689832,75","1109574,75","0,6217091278"
06,aeroport,2,163,"0,01226993865","428657,8333","1109574,75","0,3863262329"
06,gare_de_voyageurs_d_interet_national,3,163,"0,01840490798","505789,3333","1109574,75","0,4558407023"
06,gare_de_voyageurs_d_interet_regional,17,163,"0,1042944785","801700,8333","1109574,75","0,72252981"
06,gare_de_voyageurs_d_interet_local,28,163,"0,1717791411","495566,5","1109574,75","0,4466274129"
06,implantations_france_services_ifs,27,163,"0,1656441718","668879,6667","1109574,75","0,6028252415"
06,bureau_de_poste,54,163,"0,3312883436","1028612,083","1109574,75","0,9270327063"
06,agence_postale,66,163,"0,4049079755","216656,8333","1109574,75","0,1952611425"
06,ecole_maternelle,49,163,"0,3006134969","1017663,917","1109574,75","0,917165713"
06,ecole_primaire,92,163,"0,5644171779","917632,5833","1109574,75","0,8270128564"
06,ecole_elementaire,53,163,"0,3251533742","1018945,917","1109574,75","0,9183211106"
06,college,41,163,"0,2515337423","981370,1667","1109574,75","0,8844561096"
06,lycee_d_enseignement_general_et_ou_technologique,13,163,"0,07975460123","715336,3333","1109574,75","0,6446941347"
06,lycee_d_enseignement_professionnel,6,163,"0,03680981595",636270,"1109574,75","0,5734359042"
06,lycee_d_enseignement_technique_et_ou_professionnel_agricole,1,163,"0,006134969325","77131,5","1109574,75","0,06951446939"
06,etablissement_sante_court_sejour,14,163,"0,08588957055",697363,"1109574,75","0,6284957368"
06,etablissement_sante_moyen_sejour,20,163,"0,1226993865","767696,8333","1109574,75","0,6918838351"
06,etablissement_sante_long_sejour,8,163,"0,0490797546","662508,9167","1109574,75","0,5970836275"
06,urgences,7,163,"0,04294478528",666117,"1109574,75","0,6003353988"
06,maternite,5,163,"0,03067484663","603943,0833","1109574,75","0,5443013941"
06,dialyse,9,163,"0,05521472393","637344,1667","1109574,75","0,5744039928"
